# Global statistics file
######################################################
# The quantities are all given in internal units!
#
# (0)  Simulation step
#      Unit = dimensionless
# (1)  Time since Big Bang (cosmological run), Time since start of the simulation (non-cosmological run).
#      Unit = 1.000000e+00 s
#      Unit = 3.168877e-08 yr 
#      Unit = 3.168877e-14 Myr 
# (2)  Scale factor
#      Unit = dimensionless
# (3)  Redshift
#      Unit = dimensionless
# (4)  Total mass in the simulation. 
#      Unit = 1.000000e+03 gram
#      Unit = 5.029144e-31 Msun
# (5)  Total gas mass in the simulation (Particle type 0). 
#      Unit = 1.000000e+03 gram
#      Unit = 5.029144e-31 Msun
# (6)  Total dark matter mass in the simulation (Particle type 1 & 2). 
#      Unit = 1.000000e+03 gram
#      Unit = 5.029144e-31 Msun
# (7)  Total sink mass in the simulation (Particle type 3). 
#      Unit = 1.000000e+03 gram
#      Unit = 5.029144e-31 Msun
# (8)  Total stellar mass in the simulation (Particle type 4). 
#      Unit = 1.000000e+03 gram
#      Unit = 5.029144e-31 Msun
# (9)  Total black hole mass in the simulation (Particle type 5). 
#      Unit = 1.000000e+03 gram
#      Unit = 5.029144e-31 Msun
# (10) Total metal mass in the gas phase. 
#      Unit = 1.000000e+03 gram
#      Unit = 5.029144e-31 Msun
# (11) Total metal mass locked in stars. 
#      Unit = 1.000000e+03 gram
#      Unit = 5.029144e-31 Msun
# (12) Total metal mass locked in black holes. 
#      Unit = 1.000000e+03 gram
#      Unit = 5.029144e-31 Msun
# (13) Total kinetic energy (physical). 
#      Unit = 1.000000e+07 erg
# (14) Total internal (thermal) energy of the gas (physical). 
#      Unit = 1.000000e+07 erg
# (15) Total potential energy (physical). 
#      Unit = 1.000000e+07 erg
# (16) Total radiated energy of the gas (physical). 
#      Unit = 1.000000e+07 erg
# (17) Total gas entropy (physical). 
#      Unit = 1.000000e+09 gram**(0.333) * cm**(4.000) * s**(-2.000)
# (18) Comoving centre of mass of the simulation (x coordinate). 
#      Unit = 1.000000e+02 cm
#      Unit = 3.240779e-17 pc
#      Unit = 3.240779e-23 Mpc
# (19) Comoving centre of mass of the simulation (y coordinate). 
#      Unit = 1.000000e+02 cm
#      Unit = 3.240779e-17 pc
#      Unit = 3.240779e-23 Mpc
# (20) Comoving centre of mass of the simulation (z coordinate). 
#      Unit = 1.000000e+02 cm
#      Unit = 3.240779e-17 pc
#      Unit = 3.240779e-23 Mpc
# (21) Comoving momentum of the simulation (x coordinate). 
#      Unit = 1.000000e+05 gram * cm * s**-1
# (22) Comoving momentum of the simulation (y coordinate). 
#      Unit = 1.000000e+05 gram * cm * s**-1
# (23) Comoving momentum of the simulation (z coordinate). 
#      Unit = 1.000000e+05 gram * cm * s**-1
# (24) Comoving angular momentum of the simulation (x coordinate). 
#      Unit = 1.000000e+07 gram * cm**2 * s**-1
# (25) Comoving angular momentum of the simulation (y coordinate). 
#      Unit = 1.000000e+07 gram * cm**2 * s**-1
# (26) Comoving angular momentum of the simulation (z coordinate). 
#      Unit = 1.000000e+07 gram * cm**2 * s**-1
# (27) Sum of instantaneous accretion rate of all black holes in the simulation. 
#      Unit = 1.000000e+03 gram * s**-1
#      Unit = 1.587043e-23 Msun/yr
# (28)  Total mass accreted by black holes in the simulation (not including mass accreted by progenitors that have merged in the current BHs). 
#      Unit = 1.000000e+03 gram
#      Unit = 5.029144e-31 Msun
# (29)  Total black hole subgrid mass in the simulation. 
#      Unit = 1.000000e+03 gram
#      Unit = 5.029144e-31 Msun
# (30) Total Hydrogen (all species) mass in the gas phase of the simulation. 
#      Unit = 1.000000e+03 gram
#      Unit = 5.029144e-31 Msun
# (31) Total Molecular Hydrogen mass in the gas phase of the simulation. 
#      Unit = 1.000000e+03 gram
#      Unit = 5.029144e-31 Msun
# (32) Total Atomic Hydrogen mass in the gas phase of the simulation. 
#      Unit = 1.000000e+03 gram
#      Unit = 5.029144e-31 Msun
# (33) Total Helium (all species) mass in the gas phase of the simulation. 
#      Unit = 1.000000e+03 gram
#      Unit = 5.029144e-31 Msun
# (34) Total Magnetic Energy B2/(2*mu0) in thesimulation. 
#      Unit = 1.000000e+07 erg
# (35) Total DivB error in thesimulation. 
#      Unit = dimensionless
# (36) Total Cross Helicity :: sum(V.B) in thesimulation. 
#      Unit = 1.000000e+06 gram * cm * s**-3 * A**-1 
# (37) Total Magnetic Helicity :: sum(A.B) in thesimulation. 
#      Unit = 1.000000e-08 gram**2 * cm * s**-4 * A**-2
# (38) Total bolometric luminosity of the BHs. 
#      Unit = 1.000000e+07 erg * s**-1
# (39) Total jet power of the BHs. 
#      Unit = 1.000000e+07 erg * s**-1
#
#           (0)            (1)            (2)            (3)            (4)            (5)            (6)            (7)            (8)            (9)           (10)           (11)           (12)           (13)           (14)           (15)           (16)           (17)           (18)           (19)           (20)           (21)           (22)           (23)           (24)           (25)           (26)           (27)           (28)           (29)           (30)           (31)           (32)           (33)           (34)            (35)            (36)            (37)           (38)            (39) 
#          Step           Time              a              z     Total mass       Gas mass        DM mass      Sink mass      Star mass        BH mass     Gas Z mass    Star Z mass      BH Z mass    Kin. Energy    Int. Energy    Pot. energy    Rad. energy    Gas Entropy          CoM x          CoM y          CoM z         Mom. x         Mom. y         Mom. z    Ang. mom. x    Ang. mom. y    Ang. mom. z   BH acc. rate   BH acc. mass   BH sub. mass     Gas H mass    Gas H2 mass    Gas HI mass    Gas He mass    Mag. Energy        DivB err    Cr. Helicity   Mag. Helicity   BH bol. lum.   BH jet power 
             57   8.640000e+05      1.0000000      0.0000000   3.996000e+30   0.000000e+00   3.996000e+30   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00            inf   0.000000e+00  -3.507987e+38   0.000000e+00   0.000000e+00   7.853888e+12   7.413735e+12   7.479894e+12   2.553725e+23   3.996000e+34   0.000000e+00  -2.988966e+47   1.910151e+36   3.287862e+47   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
             63   9.504000e+05      1.0000000      0.0000000   3.996000e+30   0.000000e+00   3.996000e+30   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00            inf   0.000000e+00  -3.509605e+38   0.000000e+00   0.000000e+00   7.853888e+12   7.414599e+12   7.479894e+12   2.812598e+23   3.996000e+34   0.000000e+00  -2.988965e+47   2.103794e+36   3.287862e+47   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
             69   1.036800e+06      1.0000000      0.0000000   3.996000e+30   0.000000e+00   3.996000e+30   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00            inf   0.000000e+00  -3.511221e+38   0.000000e+00   0.000000e+00   7.853888e+12   7.415463e+12   7.479894e+12   3.071953e+23   3.996000e+34   0.000000e+00  -2.988965e+47   2.297790e+36   3.287862e+47   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
             74   1.123200e+06      1.0000000      0.0000000   3.996000e+30   0.000000e+00   3.996000e+30   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00            inf   0.000000e+00  -3.512834e+38   0.000000e+00   0.000000e+00   7.853888e+12   7.416327e+12   7.479894e+12   3.331785e+23   3.996000e+34   0.000000e+00  -2.988965e+47   2.492142e+36   3.287862e+47   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
             80   1.209600e+06      1.0000000      0.0000000   3.996000e+30   0.000000e+00   3.996000e+30   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00            inf   0.000000e+00  -3.514449e+38   0.000000e+00   0.000000e+00   7.853888e+12   7.417191e+12   7.479894e+12   3.592116e+23   3.995999e+34   0.000000e+00  -2.988965e+47   2.686853e+36   3.287862e+47   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
             86   1.296000e+06      1.0000000      0.0000000   3.996000e+30   0.000000e+00   3.996000e+30   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00            inf   0.000000e+00  -3.516066e+38   0.000000e+00   0.000000e+00   7.853888e+12   7.418055e+12   7.479894e+12   3.852932e+23   3.996000e+34   0.000000e+00  -2.988965e+47   2.881957e+36   3.287862e+47   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
             92   1.382400e+06      1.0000000      0.0000000   3.996000e+30   0.000000e+00   3.996000e+30   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00            inf   0.000000e+00  -3.517679e+38   0.000000e+00   0.000000e+00   7.853888e+12   7.418919e+12   7.479894e+12   4.114244e+23   3.996000e+34   0.000000e+00  -2.988965e+47   3.077416e+36   3.287862e+47   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
             97   1.468800e+06      1.0000000      0.0000000   3.996000e+30   0.000000e+00   3.996000e+30   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00            inf   0.000000e+00  -3.518757e+38   0.000000e+00   0.000000e+00   7.853888e+12   7.419783e+12   7.479894e+12   4.376063e+23   3.996000e+34   0.000000e+00  -2.988965e+47   3.273251e+36   3.287862e+47   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
            103   1.555200e+06      1.0000000      0.0000000   3.996000e+30   0.000000e+00   3.996000e+30   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00            inf   0.000000e+00  -3.520370e+38   0.000000e+00   0.000000e+00   7.853888e+12   7.420647e+12   7.479894e+12   4.638403e+23   3.996000e+34   0.000000e+00  -2.988966e+47   3.469473e+36   3.287862e+47   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
            109   1.641600e+06      1.0000000      0.0000000   3.996000e+30   0.000000e+00   3.996000e+30   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00            inf   0.000000e+00  -3.521984e+38   0.000000e+00   0.000000e+00   7.853888e+12   7.421511e+12   7.479894e+12   4.901244e+23   3.996000e+34   0.000000e+00  -2.988966e+47   3.666084e+36   3.287862e+47   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
            115   1.728000e+06      1.0000000      0.0000000   3.996000e+30   0.000000e+00   3.996000e+30   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00            inf   0.000000e+00  -3.523596e+38   0.000000e+00   0.000000e+00   7.853888e+12   7.422375e+12   7.479894e+12   5.164639e+23   3.996000e+34   0.000000e+00  -2.988966e+47   3.863079e+36   3.287862e+47   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
            120   1.814400e+06      1.0000000      0.0000000   3.996000e+30   0.000000e+00   3.996000e+30   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00            inf   0.000000e+00  -3.525209e+38   0.000000e+00   0.000000e+00   7.853888e+12   7.423239e+12   7.479894e+12   5.428525e+23   3.996000e+34   0.000000e+00  -2.988965e+47   4.060483e+36   3.287862e+47   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
            126   1.900800e+06      1.0000000      0.0000000   3.996000e+30   0.000000e+00   3.996000e+30   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00            inf   0.000000e+00  -3.526819e+38   0.000000e+00   0.000000e+00   7.853888e+12   7.424103e+12   7.479894e+12   5.692965e+23   3.996000e+34   0.000000e+00  -2.988965e+47   4.258274e+36   3.287862e+47   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
            132   1.987200e+06      1.0000000      0.0000000   3.996000e+30   0.000000e+00   3.996000e+30   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00            inf   0.000000e+00  -3.528431e+38   0.000000e+00   0.000000e+00   7.853888e+12   7.424967e+12   7.479894e+12   5.957961e+23   3.996000e+34   0.000000e+00  -2.988965e+47   4.456490e+36   3.287862e+47   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
            138   2.073600e+06      1.0000000      0.0000000   3.996000e+30   0.000000e+00   3.996000e+30   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00            inf   0.000000e+00  -3.530045e+38   0.000000e+00   0.000000e+00   7.853888e+12   7.425831e+12   7.479894e+12   6.223481e+23   3.996000e+34   0.000000e+00  -2.988966e+47   4.655095e+36   3.287862e+47   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
            143   2.160000e+06      1.0000000      0.0000000   3.996000e+30   0.000000e+00   3.996000e+30   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00            inf   0.000000e+00  -3.531118e+38   0.000000e+00   0.000000e+00   7.853888e+12   7.426695e+12   7.479894e+12   6.489571e+23   3.996001e+34   0.000000e+00  -2.988966e+47   4.854114e+36   3.287862e+47   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
            149   2.246400e+06      1.0000000      0.0000000   3.996000e+30   0.000000e+00   3.996000e+30   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00            inf   0.000000e+00  -3.532725e+38   0.000000e+00   0.000000e+00   7.853888e+12   7.427559e+12   7.479894e+12   6.756210e+23   3.996001e+34   0.000000e+00  -2.988966e+47   5.053579e+36   3.287862e+47   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
